3 3 111010010	ACT CAT
11 8 0000100000010111000000111011110011010001000110001011111111010001011010100111100101000001	AGED ATE DATE EAT EGG GADGET GAG GATE GATED GET TAD TAG TAGGED TEA
10 8 00000100000001010000011111000001010111101111001010010000111101000010100100000010	IRIS PITS RIPS SPIRIT SPIT STRIP TIPS TRIP TRIPS
14 11 0000000000000100000010011111000000100101010000011111011101000010010100011100101111000101001010000011110101111000100111010000001000011111000010000000000000	ARC ARM CALM CAMO CAR CAROL CLAM CLAMOR COLA CORAL CRAM MACRO MAR MOLAR MORAL OAR ORAL RAM ROAM
8 7 00111101000000010011111100010000111110000100100001111000	HIM HIS SIM SWIM WHIMS WHIMSY WHY WISH
10 9 001111000000100001000111100100010000010011111101010001010101011101000100100111110011110000	GIT HINT HIT INK KIN KING KNIGHT KNIT NIGHT THIN THING THINK TIN
6 6 111111101001101111101001000001111100	BOOM BOOT BOTTOM MOOT MOTTO TOMB
10 10 0000111110001010100001111010000010111111111100000001000001011111000111010100010100011111010000000001	EEL EVE EVIL LEER LEVER LIVE LIVER REEL RELIVE REVEL RILE VEER VEIL VILE
7 7 0011111100000011111101010000111110000101000001110	EJECT ERECT JEER JET REJECT TEE TREE
10 9 000010000000011111100010100000001111000100101001111111011101010111010001010101001111010100	REST RUSE RUST RUT SET STRUT SUE SURE TEST TRUE TRUEST TRUST USE USER
7 6 111110110101011010111011100100010010001111	NINE NINETY NIT TIE TIN TINNY TINY YEN YET
14 11 0000000010000000000000100100000001111101000001010010010000111100111110000101000101001111000101111100100101010000001001111000000011110100000000000100000000	GELS GLEN ISLE LEGS LENS LIENS LIES LINE LINES SIGN SINE SING SINGE SINGLE SLING
8 7 00010000000100010001000100011101111101110010010000111111	GILL GIRL GRILL GRILLE IRE LEG RIG RILE
9 9 001111110101010100111011111100010100111000001010111101011101001000101001000001000	BILE BIO ELM LIMB LIMBO LIME LIMO LOB LOBE MIL MILE MOB MOBILE OIL
7 6 000111110001011011111101010010111101110100	DEEDS DID DIED EDDIES SEE SEED SIDE SIDED
9 7 001111000001001000001001001111101111000100001000100001000111111	ALLOW FALL FALLOW FLAW FLOW FOWL LOAF WOLF
7 6 100010010001111011101101010100101011111100	AVENUE EVE EVEN NAVE VAN VANE VENUE
8 8 0011111110100100111101001010111110001001011110010000111100001000	BEND BLED BLEND BLUE BUNDLE DUEL DUNE LEND LUBE NUDE
12 9 101000000000111100010000101000111100111100010100100111110100100101001111000111100101000001000001000000000001	ATOM MANOR MART MATRON MOAN MOAT NORM RANT ROAM ROAN ROMAN TORN TRAM
8 6 001000010111110100100101111011110100100101111001	ACT CAT CHAT HAH HAT HATCH TACT THAT THATCH
11 8 0001000000000011101000111101011110101011100101010010111000100101000000001111101111000100	ALMS ALUM ASYLUM LAM LAY MAULS MAY SAY SLAM SLAY SLUM SLY SUM YAM
9 8 100111100111101001100101001100101111111101001101000000001000000001000000	ACHE CAPE CHAP CHEAP EACH HEAP HYPE PEACH PEACHY
8 7 00011110010000001110111101010101011111010101010101110100	CENT ENTER ERECT NET RECENT RENT TEEN TEN TERN
8 7 00000010000100100001001010011110111101001001111111110100	AUNT AUNTS NUNS NUTS STUN SUNTAN TANS TUNA
9 9 001111000000000001000111001000101001111101111001010001001011111001110010000000010	BUS BUST BUSY BUT BUY LUST LUSTY SLY STUB SUB SUBTLY TUB
14 10 00000000001001001010000111110010100000100100101001111001011110001010010010010010000011110111100000100101000000001001111000000011110000000000	DELIS DICE DISC ICED IDLE LICE LIDS LIED LIES SIDE SLED SLICE SLICED SLID SLIDE
8 6 010100100101001011110010010111111110101001001110	DEED DUD DUDE DUELED EEL ELUDE ELUDED LED
11 11 0000100101000011111010100010010101000111101011111010010100000100001001111001010000101111000001010100000011111000000001010	ELMS ISLE LIMES LIMPS LIPS MILES PIES PILE PILES SIMPLE SLIM SLIME SLIP SMILE
11 8 0001111000000010100000011111100000101001000011110111110010000101010000000111101111100001	DEER EDGE ELDER GEE GEL GLEE GREED LEDGE LEDGER LEER RED REED
11 9 000000111110000010100100001111001000101011110111111000001010000000111101111100100000000001000000000	CLOVE CLOVER CORE COVE COVER LORE LOVE LOVER OVER ROLE ROVE
8 6 111111001000010010111101111001011010011100100001	MESS MESSY MET SETS STEM STEMS SYSTEM YES
8 7 00001111001000001111000010100101111111011000010100011111	DEEM DEMO DEMOTE DOME EMOTE MEET MODE TOME
9 8 000111111000000100000111101101010101101111001101010001111100000101000000	CANS CASINO COIN CONS ICON IONS SCAN SCION SONIC
11 8 1000000100011111001111100011110101000100101011111101111001000000010011110000100100000001	OTTER RATE ROTATE ROTE TAROT TART TEAR TORE TORT TOTE TREAT TROT
9 7 111100000101000000111000000010000010010111111010101010011101110	APRON HARP HOP HORN NOR OAR ORPHAN PAN PAR RAN RAP
10 8 00000010000001001010000111101010010011111011111010101000001011110111100010000000	NOSY ONTO SNOOTY SNOT SOON SOOT SOOTY STONY TONS TOON
12 12 000000000001000000001111100100000001100100111111111100100101100000111110111100000100010001111100011110100000000010100000000011110000000010000000	EVIL EVILS LIE LIVE LIVES SEW SLEW SWIVEL VEILS VIE VIEW VIEWS VILE VISE WISE WIVES
10 9 000011110100100000010010010001001001111111110100000101111000010101000001111100000101000000	ANGRY GAIN GRAIN GRAINY GRIN NARY RAIN RAINY RANG RANGY
10 9 000010100000001010000011101111001011101011110000101000001010111001111110100010000111111000	NEW NEWS SEW SEWN SIN SINE SUN SWINE UNWISE WIN WINE WINES WINS WISE
13 10 0000001000000000001111110000000010000000011111100000001000100000011111011110000010100101010001010010101000001111011110000000001010	DENS DESIGN DIGS DINE DINES DING DINGS ENDS SEND SIGNED SINGED SNIDE
9 9 011100000010100000010100000111111000100100010111011111101010010011110000001000000	ENTER NET PEER PER PREEN RENT REPENT TEE TEEN TEN TREE
9 7 000010100000111100100010100100111111111101000100111100100101000	AWED DAME MADE MEAD MEADOW MEOW MOWED OWED WADE
11 8 0000000100000000101111000111110010001010100111111100001100100000001111000000010000000000	MOSS MOUSE MOUSSE MUSE MUSES SOME SUES SUMS USES
12 9 000100000000000100111101010111101001111100101001010000111111011110001000001010000000001010111110011110000000	FEES FREE FURS FUSE REEF REEFS REFS REFUSE REUSE RUSE SEER SURE SURF USER
11 10 11110111000000001010000001011111101011100010111100001110100000010001111011111000100101000001001000000000010000	ASH ASP HAS LAP LASH LASS PAL PALS PASS SAP SASH SLAP SLASH SPA SPAS SPLASH
11 9 001111100100010000101000100001010111100010101000011101011110101000010111011110111000001001000000010	DEN DIN DISH END HEN HID HIDE HIND HIS SHE SHED SHIED SHIN SHINE SHINED
12 9 000000000010001010000010001010011111011111000001000010001111111111010100000101011110000111010100000001110000	CRISP ITS PICS PIT RIP SCRIPT SIP SIR SIT SPIT STIR STRIP TICS TIPS TRIPS
11 10 00000001000111110111100000000101000001011111000111100100000101001001111011110000100001000011111010000010000100	FIRS FIRST FISH FIST FITS HITS RIFT SHIFT SHIRT SHRIFT SIFT STIR THIS
9 7 001111110000010100001110101001000111111111001100000001101111001	ACORN ARC CAN CAR CON COO CORN CORONA ORCA RACOON
8 8 0000010101111101010001010100111101010010111100100101111000010000	GOPHER GORE GROPE HERO HOPE OGRE PORE REPO ROPE
7 7 1111110101010011101110000001000011100001010011110	OPT PET POET POT TIE TIP TIPTOE TOP TOT TOTE
9 7 000001000000101111111101010100111110111100010100000010001111010	EDGE EELS ELSE GELS LEDGE LEGS SEED SLED SLEDGE
11 10 00000100000000101000100001010111100010101010111100010001000111110010111010000101011100001110100000010000000000	ALT LAST LAT LAY SALT SALTY SAT SAY SLAT SLAY STAY VAST VASTLY VAT
9 7 000100000000100010001111110010101010111101111010001010011110000	BEER BEET BELT BERET LEER REBEL REEL TREBLE
8 7 00001000001111110010100000101110111001000100010001111100	AIR AIRS IRIS RAIN RAINS RAISIN RAN SIR
12 10 011111010000000000010000000011110000000001011111000101000010001111010010010100111110111100010000010111111000010000010000	HOES HOLE HOLES HOSE HOVEL LOSE LOVES SHOE SHOVE SHOVEL SOLE SOLVE VOLE
8 8 0000111100100000001111101110100001001110011110100010001000111111	EGG EGO GEL GORE GORGE LEG LOG LOGGER LORE OGRE ROLE
8 7 00001000001111101010100010101111111101001000010011111100	BELOW BLEW BLOB BLOW BOWL ELBOW LOBE WOBBLE
9 8 000000100011100100010011111111100010010101110011110100010011100000010000	ANT ANY AUNT JAUNT JAUNTY JAY JUT NAY NUT TAN TAU TUNA
10 10 0001000001001111000100010100010101011111111101010101010011110100100100010010000001111000000000100000	DOLE DOPE LOOP LOOPED LOPED PLED POLE POLO POODLE POOL POOLED
8 6 000011110010010111111101101001011010000011110000	EVER EVOKE OVER REEK REVOKE ROVE VEER
11 10 00111111000000001010101111010111000000100010001111001110010000010001111011100001010101000001111000000001000000	DELI DIESEL EEL ELSE IDLE ISLE LED LID LIE SEE SEED SIDE SLED SLID SLIDE
9 9 001111110001000100111110101000010001101110001100100111100111100100010100000011100	ACT ACTOR ART CARROT CART CAT COAT COT OAT RAT ROAR ROT TACO TAR
9 9 000111110111101010100101111111101010101000000001111001001001001001001111001001001	FELL FELT FILE FILET FILL FILLET LEFT LIFE LIFT LILT LITE TILE TILL
8 8 1110000010100000111001010101010101110101000111010001011100000100	AGO ARC CAR CARGO COG COUGAR OAR ORCA OUR RAG RUG
10 8 11110000000000011100011111010000100101111111101010010101111001010010100011111100	ABLE ALE BAR BEAR BLAZE BLAZER BRA EAR EARL ERA LAB RAZE ZEAL ZEBRA
9 8 000010010000010010000011110001110100001000100111011111010010100011110100	ANY CANNY CAY CRANNY CRY NAN NARY RACY RAN RAY YARN
9 9 000001010000001010000101111001111010000101010111110010010010000010010000011110000	GALS GASSY GLASS GLASSY LAGS LAYS SAGS SAYS SLAY
8 8 0010000011101000101111001010100001111110000001010000111100000001	CITY HIM HIT ICY ITCH ITCHY MYTH MYTHIC THY
11 9 000000010000000100100000101001111001011110101111100001000100111111001001010000000011110000000101000	REST ROSE ROTE ROTS SORE SORT STOKE STORE STROKE TORE TREK
8 8 0000000100111101001001010011110101010100111101110100001001111110	CITE ERECT ICE IRE RECITE RICE RITE TIC TIE TIER TIRE
12 9 100011111000100010010000101111010101101010111111001000000101011110111101000010100001000010100001000111100000	ADHERE DARE DEAR DEER HARD HARE HEADER HEAR HEARD HEED HERD HERE READ REED
11 8 0111100000001001001010010010011111111110101001000101111000001001000000011110000000000100	AGES AWES EASE EWES GEES SAGE SEWAGE SWAG WAGE WAGES WAGS
9 7 000011111000010001011111101101010001111100000101000000100011111	PUNK PUNKS PUNS PUNY SPUN SPUNK SPUNKY SUNK
8 8 0001111000010000000100010011110100100111111111010010100000111000	LESS LEST LET LUSTS LUTE SET SUE SUES TUSSLE USE
11 9 111111010100101000111101110111010001001001111010011100110111001001100101110001001110000000000100000	NOT NOW NUT OPT OUT OWN POT POW PUN PUNT PUT TON TOP TOW TOWN TWO UNTO UPON UPTOWN WON
8 6 011111100001001011110111101001001011111010000000	CITES CITIES ICE ITS SECT SIT SITE TIC TIE
7 7 0001010011111000010100101111010100111110010100001	ATOP AUTO IOTA PATIO PITA POUT UTOPIA
13 10 0001011110000000101001000000011101111001111000100100001001111110011110100001000010010101111000001110100000000001111100011110000000	AFRO ARM FARM FOAM FOR FORM FORMAL FRO FROM LAM LOAF LOAM MAR MOLAR MORAL OAR ORAL RAM ROAM
10 9 001111000000010100000001011111011111001000001011111111101010001010100000100010000011111100	ENSUE ENSURE NURSE REUSE RUNS RUSE SEEN SEER SNEER SURE URNS USER
9 9 000111111000100010000111110111101010100001000100111100111100000000101111000100000	DEAN HAND HANDLE HEAD HEAL HELD LADEN LAND LANE LEAN LEND
9 8 000001111000100000000100001000111111111101001001001111001001000001111000	ALLUDE DALE DEAL DELL DUAL DUEL DULL LADLE LEAD
10 9 010001000101000101110101010101010101111100010001000101011100111101000001011100000000010000	CON CONE CONVEY COVE COVEY COY ENVOY ENVY ONCE OVEN YEN YON
12 10 000001111100000100000000000100111110111100100000100111100000100000101000111101111110000101001010001111001111000101000010	NEST NEWEST NEWS SENT SEWN STEW SWEET TEEN TEES TENS TENSE TWEEN WENT WEST WETS
9 8 000011100000010100011110100010100111011100001010000101111101111010000101	AFT ALT FALL FAT FLAT FLATLY FLAY FLY LAT LAY TALL TALLY
8 7 00111101001001011010010111110101100101011001010011110000	MOST ROSY ROTS SORT STORM STORMY STORY TOYS
9 9 001001111011111010001001010111101010100100000100111111111101000000001000000001000	HALL HALT HATE HEAT HELL LATE LATHE LETHAL TALE TEAL TELL
13 11 00000000111110010100010100011110001010000101010101001111101111100100000101000011110010000001010111100000001001000000000111101111100010010000000	ALERT ALTER ARTY EARL EARLY LATER LAYER RATE REAL REALTY RELAY RELY TEAR TEARY TRAY YEAR
9 9 010000000010000000111100001100000001111101111100101000011111100010101000011100000	DESK DOE DOES DOSE DOTE ODE SOD STOKE STOKED TOE TOES
10 10 1001010000111101000010010100001001010000111101010001000001001110111111001010010000111000000010100000	ORE OVER OVERT ROT ROTE ROVE TORE TROVE VET VETO VORTEX VOTER
7 6 011111101010011111001010111101000100001111	MORE ORES REM ROSE SMOKE SMOKER SOME SORE
12 9 000010000000000111100000000010100000000111110000010100101000010100101010111110111111010000001010000000011110	DAPPER DARE DEAR DRAPE PAPER PARED PEAR PREP RAPPED READ REAP
8 8 0011111100100100111101111010000110001111111101001010010000111100	BIG BILE BILGE BRIE BRIG GEL GERBIL GIRL GLIB LIE RIB RILE
11 8 0111101000000000010100000100111100001111010010010101111101111000101001010001011111000010	DELI DIET DILUTE DUEL DUET EDIT IDLE LIED LUTE TIDE TIED TILED
8 8 0101010111110111010111011111000100101111001001010000010000000100	CITY CYST ICKY ICY KIT SICK SKI SKIT SKY STICKY TICK
8 6 011110010001000101111101010101011111010101010100	FLINT FLINTY FLIT LIFT LINT NIFTY TINY
12 9 000100011111001111110100010100011100111100001000010010001000011110111100000010100000000011110000000000100000	EMIT ITEM MET MITE MOTE MOTIVE MOVE MOVIE OMIT TOE TOME VETO VIE VOTE
8 6 011111000010000010111111101010101001111010001010	NEON NONE OWNER RENOWN WORE WORN WREN
7 7 0001001000100100010010101111111101001000100111111	CLUE LICE LIEN LINE NICE NUCLEI UNCLE
9 9 010111111111101000010101001010111101010000101010010101000111101000010100001111000	DUEL HELD HERD HURDLE HURL HURLED LURE LURED RUDE RULE RULED
9 7 000011110010010010111110111010000100011111100000100000111101111	BOOM BOOT BOOTY BOY MOB MOO MOOT TOMB TOMBOY TOO TOY
11 8 0001111000000010100001000101111010111110010101010001111111100001000100000000001000000000	ANTI AUNT AUNTIE NEAT TINE TUNA TUNE UNIT UNITE UNTIE
9 7 111111001100010001111010001101000111001010010001011110001110000	FIGURE FIR FIRE FUR GRIEF IRE RIFE RIG RUE RUG URGE
10 10 0001001111000100101001011110100101001111111101010001001111000001010100111111000000010000000001011111	IRES REST RISE RITE RIVET SIRE SITE STIR STRIVE TIER TIRE TRIES VEST VETS
10 8 01111011100000001010000011111100101010100010111100111001000010111100001000000000	BED BID BIDE BIO BIOS BOD BODES BODIES DOES DOSE ODE SIDE
11 8 0001000000000010011110000111101011111001010110001111101100000010011000000100100000011111	DONUT DOUR ROTUND ROUND RUNT TORN TOUR TROD TURN UNDO UNTO
9 8 001111100101000100111011100101010000101111100001010111000000101011110101	GNU GUN GUY LUG LUNGS SLUG SLUNG SNUG SNUGLY SUN SUNG UGLY
12 12 000000101000000001111000000000101000000001111000000001001010000101011110001111000010100100001111111110010100100000010100100000111100100000010000	ADORE AFRO DARE DEAF DOER FADE FARE FARED FEAR FEDORA FORD FORE READ REDO RODE
9 9 000011110000010000000010000010111111111100001010101111010101001001111100000001000	ATOLL BALLOT BLOAT BLOT BOAT BOLA BOLL BOLT TALL TOLL
8 7 00001001011111010010100110101111101000101011111110000010	NITS NUTS QUITS SQUINT STUN SUIT TINS UNITS
8 6 111100001010000010101001101011111111100100100000	HULL HULLS LUSH LUSHLY SHY SLY SULLY
9 7 000001111111101010101001010101001010111111000101000000001011110	ABOARD ABROAD BARD BOAR BOARD BROAD DRAB ROAD
7 7 0001000111111010010001111001101010110101010111101	ALSO LOAN LOON SALON SALOON SOLO SON SOON
8 7 00000010000011111111101000101111011110010010100100001001	HUTS PUSH PUSHY PUTS SHUT THUS TUSH TYPHUS
9 8 001111001001010001111010001101111101101001001101111000000100000001111000	ACE ACNE ALE CAN CANCEL CANE CLAN CLEAN LACE LANCE LEAN
10 8 00001001000011110100001010010101111001010010001111011111100100000011111111101000	HERE HERS PEER PEERS REPS SEEP SEER SHEEP SHEER SPHERE SPREE
11 10 00000101000000011111000010010101000100101111001001010101110101111010001110000101110100001110001000000100000000	DEFUSE DUE FED FEE FEED FEUD FUSE FUSED SEE SEED SUE SUED SUEDE USE USED
11 10 00000010000000111100000001001000000010010101111100111110010000010101111001111001010010010000100100100001111000	ABLE BALE BARE BEAR BLAH BLARE EARL HARE HEAL HEAR HERB HERBAL REHAB
8 7 00010000000111110101010111110101010011111111010000000100	ARMOR ATOM MART MOAT MORTAR ROAM ROAR TRAM
14 12 000000001000000000000111100000000000101111000101111010100001001000101001011110000010111100101111100100000101000001010001111110011110010100000001011111000000010001000000	CLOT CLOTS CLOUT COLT COLTS COST CULT LOCUS LOCUST LOST LOTS LOTUS LOUT LUST OUST SCOUT SLOT SOUL
10 9 111101000000000111000001110100010010111111111101010101001001011100111100000010000000001111	AID AIL AIR ARID DIAL LAD LAID LAIR LARD LIAR LID LIZARD RAD RAID RAIL
9 9 000010000000111110000010010011110010010101111011110100010100100010000100111110000	MERE MUSE RESUME REUSE RUSE SEEM SEER SERUM SURE USER
8 6 010011110100100101011111011100000101000011110000	ART RAT SAT STAR START STAT STRATA TART
15 11 000101001111000000101001010000001111001011111000101111010100000101000000100000000100111100000111110010000000100100010000000100111110000000100100000000111111000000000	ACRE CAKE CARE CATER CRATE CREAK RACE RACK RACKET RAKE REACT TACK TAKER TRACE TRACK TREK
9 8 000011111000010001001010001111010001101010000100111100111101000100111000	CREEP CREEPY CREPE CRY PEER PREY PRY PYRE REP RYE YEP
9 7 000111110010100010111100010010101111111100001010000001010111101	AILS COALS COILS COLA OILS SAIL SILO SOCIAL SOIL
10 9 000111110000001001000011100111000100001010011111101001001000111100101000000011110111100010	ANGRY ANY GAL GNARL GNARLY GRAY LAG LAY NAG NARY RAG RAN RANG YARN
